ncaa_name,bd_name,school_id,max_season,min_season
Dartmouth,Dartmouth,172,2022,2013
Davidson,Davidson,173,2022,2013
Dayton,Dayton,175,2022,2013
Delaware,Delaware,180,2022,2013
Delaware St.,Delaware State,178,2022,2013
Dixie St.,Dixie State,30095,2022,2013
Duke,Duke,193,2022,2013
East Carolina,East Carolina,196,2022,2013
ETSU,East Tennessee,198,2022,2013
Eastern Ill.,Eastern Illinois,201,2022,2013
Eastern Ky.,Eastern Kentucky,202,2022,2013
Eastern Mich.,Eastern Michigan,204,2022,2013
Elon,Elon,1068,2022,2013
Evansville,Evansville,219,2022,2013
Fairfield,Fairfield,220,2022,2013
Fairleigh Dickinson,Fairleigh Dickinson,222,2022,2013
Florida,Florida,235,2022,2013
Florida A&M,Florida A&M,228,2022,2013
Fla. Atlantic,Florida Atlantic,229,2022,2013
FGCU,Florida Gulf Coast,28755,2022,2013
FIU,Florida International,231,2022,2013
Florida St.,Florida State,234,2022,2013
Fordham,Fordham,236,2022,2013
Fresno St.,Fresno State,96,2022,2013
Furman,Furman,244,2022,2013
Gardner-Webb,Gardner-Webb,1092,2022,2013
George Mason,George Mason,248,2022,2013
George Washington,George Washington,249,2022,2013
Georgetown,Georgetown,251,2022,2013
Georgia,Georgia,257,2022,2013
Ga. Southern,Georgia Southern,253,2022,2013
Georgia St.,Georgia State,254,2022,2013
Georgia Tech,Georgia Tech,255,2022,2013
Gonzaga,Gonzaga,260,2022,2013
Grambling,Grambling State,261,2022,2013
Grand Canyon,Grand Canyon,1104,2022,2013
Hartford,Hartford,272,2022,2013
Harvard,Harvard,275,2022,2013
Hawaii,Hawaii,277,2022,2013
High Point,High Point,19651,2022,2013
Hofstra,Hofstra,283,2022,2013
Holy Cross,Holy Cross,285,2022,2013
Houston,Houston,288,2022,2013
Houston Baptist,Houston Baptist,287,2022,2013
Illinois,Illinois,301,2022,2013
Illinois St.,Illinois State,299,2022,2013
UIC,Illinois-Chicago,302,2022,2013
UIW,Incarnate World,2743,2022,2013
Indiana,Indiana,306,2022,2013
Indiana St.,Indiana State,305,2022,2013
Iona,Iona,310,2022,2013
Iowa,Iowa,312,2022,2013
Jackson St.,Jackson State,314,2022,2013
Jacksonville,Jacksonville,316,2022,2013
Jacksonville St.,Jacksonville State,315,2022,2013
James Madison,James Madison,317,2022,2013
Kansas,Kansas,328,2022,2013
Kansas St.,Kansas State,327,2022,2013
Kennesaw St.,Kennesaw State,1157,2022,2013
Kent St.,Kent State,331,2022,2013
Kentucky,Kentucky,334,2022,2013
La Salle,LaSalle,340,2022,2013
Lafayette,Lafayette,342,2022,2013
Lamar University,Lamar,346,2022,2013
Lehigh,Lehigh,352,2022,2013
Liberty,Liberty,355,2022,2013
Lipscomb,Lipscomb,28600,2022,2013
Long Beach St.,Long Beach State,99,2022,2013
LIU,Long Island,361,2022,2013
Longwood,Longwood,363,2022,2013
LSU,Louisiana State,365,2022,2013
Louisiana Tech,Louisiana Tech,366,2022,2013
La.-Monroe,Louisiana-Monroe,498,2022,2013
Louisville,Louisville,367,2022,2013
LMU (CA),Loyola Marymount,370,2022,2013
Maine,Maine,380,2022,2013
Manhattan,Manhattan,381,2022,2013
Marist,Marist,386,2022,2013
Marshall,Marshall,388,2022,2013
Maryland,Maryland,392,2022,2013
UMBC,Maryland-Baltimore County,391,2022,2013
UMES,Maryland-Eastern Shore,393,2022,2013
Massachusetts,Massachusetts,400,2022,2013
UMass Lowell,Massachusetts-Lowell,368,2022,2013
McNeese,McNeese State,402,2022,2013
Memphis,Memphis,404,2022,2013
Mercer,Mercer,406,2022,2013
Miami (FL),"Miami, Florida",415,2022,2013
Miami (OH),"Miami, Ohio",414,2022,2013
Michigan,Michigan,418,2022,2013
Michigan St.,Michigan State,416,2022,2013
Middle Tenn.,Middle Tennessee,419,2022,2013
Minnesota,Minnesota,428,2022,2013
Ole Miss,Mississippi,433,2022,2013
Mississippi St.,Mississippi State,430,2022,2013
Mississippi Val.,Mississippi Valley State,432,2022,2013
Missouri,Missouri,434,2022,2013
Missouri St.,Missouri State,669,2022,2013
Monmouth,Monmouth,439,2022,2013
Morehead St.,Morehead State,444,2022,2013
Mount St. Mary's,Mount St. Mary's,450,2022,2013
Murray St.,Murray State,454,2022,2013
Navy,Navy,726,2022,2013
Nebraska,Nebraska,463,2022,2013
Omaha,Nebraska-Omaha,464,2022,2013
Nevada,Nevada,466,2022,2013
UNLV,Nevada-Las Vegas,465,2022,2013
NJIT,New Jersey Tech,471,2022,2013
New Mexico,New Mexico,473,2022,2013
New Mexico St.,New Mexico State,472,2022,2013
New Orleans,New Orleans,474,2022,2013
New York Tech,New York Tech,477,2022,2013
Niagara,Niagara,482,2022,2013
Nicholls St.,Nicholls State,483,2022,2013
Norfolk St.,Norfolk State,485,2022,2013
North Ala.,North Alabama,487,2022,2013
North Carolina,North Carolina,457,2022,2013
N.C. A&T,North Carolina A&T,488,2022,2013
N.C. Central,North Carolina Central,489,2022,2013
NC State,North Carolina State,490,2022,2013
UNC Asheville,North Carolina-Asheville,456,2022,2013
