Jersey,name,Yr,pos,GP,GS,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,OPP DP,CS,Picked,SB,IBB,season
16,Wyatt Grant,Jr,C,7,3,1,9,1,0,0,1,0,0,3,1,0,0,6,0,0,0,0,0,2022
7,Kyle Miller,So,UT,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
33,Bryce Grossius,Jr,P,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
37,Hunter Ralls,Jr,P,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
20,Jason Rackers,Sr,P,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
18,Noah Niznik,Jr,P,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
25,Ethan Osborne,Fr,P,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
44,Matt Perego,Jr,P,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
24,Fischer Rausch,So,P,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
28,Anthony Klein,Fr,P,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
34,Alex Esker,Fr,P,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
38,Hayden Malenfant,Sr,P,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
22,Jeb Callaghan,Jr,P,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
55,Noah Stone,So,P,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
15,Joseph Karall,So,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
