ncaa_name,bd_name,school_id,max_season,min_season,division
Miami (OH),"Miami, Ohio",414,2022,2013,1
Michigan,Michigan,418,2022,2013,1
Michigan St.,Michigan State,416,2022,2013,1
Middle Tenn.,Middle Tennessee,419,2022,2013,1
Minnesota,Minnesota,428,2022,2013,1
Ole Miss,Mississippi,433,2022,2013,1
Mississippi St.,Mississippi State,430,2022,2013,1
Mississippi Val.,Mississippi Valley State,432,2022,2013,1
Missouri,Missouri,434,2022,2013,1
Missouri St.,Missouri State,669,2022,2013,1
Monmouth,Monmouth,439,2022,2013,1
Morehead St.,Morehead State,444,2022,2013,1
Mount St. Mary's,Mount St. Mary's,450,2022,2013,1
Murray St.,Murray State,454,2022,2013,1
Navy,Navy,726,2022,2013,1
Nebraska,Nebraska,463,2022,2013,1
Omaha,Nebraska-Omaha,464,2022,2013,1
Nevada,Nevada,466,2022,2013,1
UNLV,Nevada-Las Vegas,465,2022,2013,1
NJIT,New Jersey Tech,471,2022,2013,1
New Mexico,New Mexico,473,2022,2013,1
New Mexico St.,New Mexico State,472,2022,2013,1
New Orleans,New Orleans,474,2022,2013,1
New York Tech,New York Tech,477,2022,2013,1
Niagara,Niagara,482,2022,2013,1
Nicholls St.,Nicholls State,483,2022,2013,1
Norfolk St.,Norfolk State,485,2022,2013,1
North Ala.,North Alabama,487,2022,2013,1
North Carolina,North Carolina,457,2022,2013,1
N.C. A&T,North Carolina A&T,488,2022,2013,1
N.C. Central,North Carolina Central,489,2022,2013,1
NC State,North Carolina State,490,2022,2013,1
UNC Asheville,North Carolina-Asheville,456,2022,2013,1
Charlotte,North Carolina-Charlotte,458,2022,2013,1
UNC Greensboro,North Carolina-Greensboro,459,2022,2013,1
UNCW,North Carolina-Wilmington,460,2022,2013,1
North Dakota,North Dakota,494,2022,2013,1
North Dakota St.,North Dakota State,493,2022,2013,1
North Florida,North Florida,2711,2022,2013,1
Northeastern,Northeastern,500,2022,2013,1
Northern Colo.,Northern Colorado,502,2022,2013,1
Northern Ill.,Northern Illinois,503,2022,2013,1
Northern Ky.,Northern Kentucky,505,2022,2013,1
Northwestern,Northwestern,509,2022,2013,1
Northwestern St.,Northwestern State,508,2022,2013,1
Notre Dame,Notre Dame,513,2022,2013,1
Oakland,Oakland,514,2022,2013,1
Ohio,Ohio,519,2022,2013,1
Ohio St.,Ohio State,518,2022,2013,1
Oklahoma,Oklahoma,522,2022,2013,1
Oklahoma St.,Oklahoma State,521,2022,2013,1
Old Dominion,Old Dominion,523,2022,2013,1
Oral Roberts,Oral Roberts,527,2022,2013,1
Oregon,Oregon,529,2022,2013,1
Oregon St.,Oregon State,528,2022,2013,1
Pacific,Pacific,534,2022,2013,1
Penn St.,Penn State,539,2022,2013,1
Penn,Pennslyvania,540,2022,2013,1
Pepperdine,Pepperdine,541,2022,2013,1
Pittsburgh,Pittsburgh,545,2022,2013,1
Portland,Portland,551,2022,2013,1
Prairie View,Prairie View A&M,553,2022,2013,1
Presbyterian,Presbyterian,1320,2022,2013,1
Princeton,Princeton,554,2022,2013,1
Purdue,Purdue,559,2022,2013,1
Quinnipiac,Quinnipiac,562,2022,2013,1
Radford,Radford,563,2022,2013,1
Rhode Island,Rhode Island,572,2022,2013,1
Rice,Rice,574,2022,2013,1
Richmond,Richmond,575,2022,2013,1
Rider,Rider,576,2022,2013,1
Rutgers,Rutgers,587,2022,2013,1
Sacramento St.,Sacramento State,102,2022,2013,1
Sacred Heart,Sacred Heart,590,2022,2013,1
Sam Houston St.,Sam Houston State,624,2022,2013,1
Samford,Samford,625,2022,2013,1
San Diego,San Diego,627,2022,2013,1
San Diego St.,San Diego State,626,2022,2013,1
San Francisco,San Francisco,629,2022,2013,1
San Jose St.,San Jose State,630,2022,2013,1
Santa Clara,Santa Clara,631,2022,2013,1
Savannah St.,Savannah State,632,2022,2013,1
Seattle U,Seattle,1356,2022,2013,1
Seton Hall,Seton Hall,635,2022,2013,1
Siena,Siena,639,2022,2013,1
South Alabama,South Alabama,646,2022,2013,1
South Carolina,South Carolina,648,2022,2013,1
USC Upstate,South Carolina-Upstate,10411,2022,2013,1
South Dakota St.,South Dakota State,649,2022,2013,1
South Fla.,South Florida,651,2022,2013,1
Southeast Mo. St.,Southeast Missouri State,654,2022,2013,1
Southeastern La.,Southeastern Louisiana,655,2022,2013,1
Southern U.,Southern,665,2022,2013,1
Southern California,Southern California,657,2022,2013,1
Southern Ill.,Southern Illinois,659,2022,2013,1
SIUE,Southern Illinois-Edwardsville,660,2022,2013,1
Southern Miss.,Southern Mississippi,664,2022,2013,1
Saint Mary's (CA),St Mary's,610,2022,2013,1
St. Bonaventure,St. Bonaventure,596,2022,2013,1
St. John's (NY),St. John's,603,2022,2013,1
Saint Joseph's,St. Joseph's,606,2022,2013,1
Saint Louis,St. Louis,609,2022,2013,1
Saint Peter's,St. Peter's,617,2022,2013,1
Stanford,Stanford,674,2022,2013,1
SFA,Stephen F. Austin State,676,2022,2013,1
Stetson,Stetson,678,2022,2013,1
Stony Brook,Stony Brook,683,2022,2013,1
Tarleton St.,Tarleton State,1395,2022,2013,1
Temple,Temple,690,2022,2013,1
Tennessee,Tennessee,694,2022,2013,1
Tennessee Tech,Tennessee Tech,692,2022,2013,1
UT Martin,Tennessee-Martin,695,2022,2013,1
Texas,Texas,703,2022,2013,1
Texas A&M,Texas A&M,697,2022,2013,1
A&M-Corpus Christi,Texas A&M-Corpus Christi,26172,2022,2013,1
TCU,Texas Christian,698,2022,2013,1
Texas Southern,Texas Southern,699,2022,2013,1
Texas St.,Texas State,670,2022,2013,1
Texas Tech,Texas Tech,700,2022,2013,1
UT Arlington,Texas-Arlington,702,2022,2013,1
UTRGV,Texas-Rio Grande Valley,536,2022,2013,1
UTSA,Texas-San Antonio,706,2022,2013,1
The Citadel,The Citadel,141,2022,2013,1
Toledo,Toledo,709,2022,2013,1
Towson,Towson,711,2022,2013,1
Troy,Troy,716,2022,2013,1
Tulane,Tulane,718,2022,2013,1
UC Davis,UC Davis,108,2022,2013,1
UC Irvine,UC Irvine,109,2022,2013,1
UC Riverside,UC Riverside,111,2022,2013,1
UC Santa Barbara,UC Santa Barbara,104,2022,2013,1
UCLA,UCLA,110,2022,2013,1
Utah,Utah,732,2022,2013,1
Utah Valley,Utah Valley,30024,2022,2013,1
VMI,VMI,741,2022,2013,1
Valparaiso,Valparaiso,735,2022,2013,1
Vanderbilt,Vanderbilt,736,2022,2013,1
Villanova,Villanova,739,2022,2013,1
Virginia,Virginia,746,2022,2013,1
VCU,Virginia Commonwealth,740,2022,2013,1
Virginia Tech,Virginia Tech,742,2022,2013,1
Wagner,Wagner,748,2022,2013,1
Wake Forest,Wake Forest,749,2022,2013,1
Washington,Washington,756,2022,2013,1
Washington St.,Washington State,754,2022,2013,1
West Virginia,West Virginia,768,2022,2013,1
Western Caro.,Western Carolina,769,2022,2013,1
Western Ill.,Western Illinois,771,2022,2013,1
Western Ky.,Western Kentucky,772,2022,2013,1
Western Mich.,Western Michigan,774,2022,2013,1
Wichita St.,Wichita State,782,2022,2013,1
William & Mary,William and Mary,786,2022,2013,1
Winthrop,Winthrop,792,2022,2013,1
Milwaukee,Wisconsin-Milwaukee,797,2022,2013,1
Wofford,Wofford,2915,2022,2013,1
Wright St.,Wright State,810,2022,2013,1
Xavier,Xavier,812,2022,2013,1
Yale,Yale,813,2022,2013,1
Youngstown St.,Youngstown State,817,2022,2013,1
Bellarmine,,52,2022,2013,1
UC San Diego,,112,2022,2013,1
Purdue Fort Wayne,,308,2022,2013,1
Merrimack,,410,2022,2013,1
Louisiana,,671,2022,2013,1
Colorado Mesa,,11416,2022,2013,2
Spring Hill,,30191,2022,2013,2
Central Mo.,,130,2022,2013,2
Angelo St.,,25,2022,2013,2
Francis Marion,,1085,2022,2013,2
Albany St.  (SIAC),,13,2022,2013,2
Drury,,1057,2022,2013,2
Chico St.,,95,2022,2013,2
Concord,,1028,2022,2013,2
Savannah St.,,632,2022,2013,2
Ill. Springfield,,30050,2022,2013,2
MSU Denver,,413,2022,2013,2
William Jewell,,30120,2022,2013,2
Newberry,,1257,2022,2013,2
West Tex. A&M,,767,2022,2013,2
Lubbock Christian,,30177,2022,2013,2
North Greenville,,9223,2022,2013,2
Augustana  (NSIC),,41,2022,2013,2
Northeastern St.,,12810,2022,2013,2
Charleston  (MEC),,1013,2022,2013,2
Minnesota St.,,383,2022,2013,2
Slippery Rock,,643,2022,2013,2
Molloy,,437,2022,2013,2
CSU Pueblo,,2720,2022,2013,2
Millersville,,423,2022,2013,2
Regis  (RMAC),,568,2022,2013,2
Okla. Baptist,,30202,2022,2013,2
Pittsburg St.,,1314,2022,2013,2
Colo. Christian,,11403,2022,2013,2
Adelphi,,3,2022,2013,2
Columbus St.,,159,2022,2013,2
UC-Colo. Springs,,9754,2022,2013,2
Ashland,,35,2022,2013,2
Lenoir-Rhyne,,1170,2022,2013,2
Miles,,422,2022,2013,2
Trevecca Nazarene,,30002,2022,2013,2
Colo. Sch. of Mines,,155,2022,2013,2
Quincy,,561,2022,2013,2
Young Harris,,30154,2022,2013,2
UNC Pembroke,,537,2022,2013,2
Alabama Huntsville,,10,2022,2013,2
Southern Ark.,,1376,2022,2013,2
Montevallo,,1238,2022,2013,2
Wingate,,1462,2022,2013,2
Maryville  (GLVC),,395,2022,2013,2
N.M. Highlands,,8577,2022,2013,2
Point Loma,,30149,2022,2013,2
St. Edward's,,1334,2022,2013,2
Mo. Southern St.,,9012,2022,2013,2
Tex. A&M-Kingsville,,696,2022,2013,2
Florida Tech,,230,2022,2013,2
Georgia College,,1096,2022,2013,2
Southern N.H.,,468,2022,2013,2
Cal Poly Pomona,,91,2022,2013,2
Queens  (SAC),,11504,2022,2013,2
Barton,,15646,2022,2013,2
Erskine,,1072,2022,2013,2
Chestnut Hill,,21323,2022,2013,2
Indiana  (PSAC),,307,2022,2013,2
Pace,,533,2022,2013,2
Tiffin,,1403,2022,2013,2
St. Cloud St.,,598,2022,2013,2
Tampa,,689,2022,2013,2
Rockhurst,,1328,2022,2013,2
Northwestern Okla.,,30178,2022,2013,2
Nova Southeastern,,24639,2022,2013,2
Delta St.,,181,2022,2013,2
Jefferson,,543,2022,2013,2
Saint Leo,,608,2022,2013,2
Davenport,,30221,2022,2013,2
Washburn,,2814,2022,2013,2
Notre Dame  (MEC),,30126,2022,2013,2
Cedarville,,30124,2022,2013,2
Purdue Northwest,,30222,2022,2013,2
Southeastern Okla.,,1371,2022,2013,2
UT Tyler,,30028,2022,2013,2
Saginaw Valley,,591,2022,2013,2
Cal U  (PSAC),,106,2022,2013,2
Carson-Newman,,1000,2022,2013,2
AUM,,30093,2022,2013,2
Mount Olive,,1245,2022,2013,2
Central Wash.,,1010,2022,2013,2
Hillsdale,,280,2022,2013,2
Wilmington  (CACC),,1460,2022,2013,2
Cal St. Monterey Bay,,30055,2022,2013,2
West Ga.,,766,2022,2013,2
Northwood,,510,2022,2013,2
Missouri S&T,,435,2022,2013,2
Franklin Pierce,,241,2022,2013,2
McKendree,,30138,2022,2013,2
Grand Valley St.,,262,2022,2013,2
Glenville St.,,1098,2022,2013,2
Cal St. San Marcos,,30198,2022,2013,2
Rollins,,584,2022,2013,2
Adams St.,,929,2022,2013,2
Wayne St.  (GLIAC),,757,2022,2013,2
Azusa Pacific,,30146,2022,2013,2
East Stroudsburg,,197,2022,2013,2
Queens  (ECC),,560,2022,2013,2
Belmont Abbey,,2683,2022,2013,2
Wheeling,,12799,2022,2013,2
West Virginia St.,,1439,2022,2013,2
Tex. A&M Int'l,,30090,2022,2013,2
Lee,,30013,2022,2013,2
Kentucky St.,,332,2022,2013,2
Arkansas Tech,,947,2022,2013,2
Minot St.,,30125,2022,2013,2
Southern Nazarene,,30152,2022,2013,2
Southwest Minn. St.,,8736,2022,2013,2
Cal St. San B'dino,,93,2022,2013,2
Union  (Gulf South),,30153,2022,2013,2
Anderson  (SAC),,13028,2022,2013,2
Southwestern Okla.,,8744,2022,2013,2
Seton Hill,,30063,2022,2013,2
Cal State LA,,100,2022,2013,2
St. Mary's  (Lone Star),,1346,2022,2013,2
Fresno Pacific,,30147,2022,2013,2
Cal St. Dom. Hills,,92,2022,2013,2
Lewis,,354,2022,2013,2
Henderson St.,,1123,2022,2013,2
Bloomsburg,,65,2022,2013,2
West Chester,,765,2022,2013,2
West Ala.,,358,2022,2013,2
Bloomfield,,984,2022,2013,2
Ouachita Baptist,,1289,2022,2013,2
Shorter,,30151,2022,2013,2
Minn. Duluth,,427,2022,2013,2
King  (Conference Carolinas),,30051,2022,2013,2
Central Okla.,,1009,2022,2013,2
Hawaii Pacific,,2696,2022,2013,2
Le Moyne,,349,2022,2013,2
Mercyhurst,,408,2022,2013,2
Newman,,30054,2022,2013,2
Southern Conn. St.,,658,2022,2013,2
St. Thomas Aquinas,,1348,2022,2013,2
Walsh,,30141,2022,2013,2
Rogers St.,,30180,2022,2013,2
Augusta,,39,2022,2013,2
Goldey-Beacom,,8366,2022,2013,2
Benedict,,55,2022,2013,2
Hawaii Hilo,,2697,2022,2013,2
Lynn,,20794,2022,2013,2
Lock Haven,,360,2022,2013,2
UIndy,,309,2022,2013,2
Eckerd,,208,2022,2013,2
Valdosta St.,,734,2022,2013,2
Lincoln Memorial,,1176,2022,2013,2
Mansfield,,384,2022,2013,2
Salem  (DII Independent),,19117,2022,2013,2
Sioux Falls,,30128,2022,2013,2
Saint Rose,,1347,2022,2013,2
Shippensburg,,638,2022,2013,2
Lane,,347,2022,2013,2
Malone,,30137,2022,2013,2
Barry,,49,2022,2013,2
Post,,1318,2022,2013,2
Caldwell,,995,2022,2013,2
New Haven,,470,2022,2013,2
American Int'l,,22,2022,2013,2
Emory & Henry,,216,2022,2013,2
Flagler,,30092,2022,2013,2
Harding,,1116,2022,2013,2
Tex. Permian Basin,,30088,2022,2013,2
Lander,,1167,2022,2013,2
Bluefield St.,,985,2022,2013,2
Ark.-Monticello,,8411,2022,2013,2
Fairmont St.,,1076,2022,2013,2
Mercy,,407,2022,2013,2
Claflin,,30058,2022,2013,2
North Georgia,,30052,2022,2013,2
Stonehill,,682,2022,2013,2
Fla. Southern,,233,2022,2013,2
Eastern N.M.,,206,2022,2013,2
Morehouse,,445,2022,2013,2
Cal St. East Bay,,98,2022,2013,2
Northwest Nazarene,,1274,2022,2013,2
Southern Wesleyan,,30192,2022,2013,2
Okla. Christian,,30179,2022,2013,2
Sonoma St.,,645,2022,2013,2
Southern Ind.,,661,2022,2013,2
Mont. St. Billings,,205,2022,2013,2
Ky. Wesleyan,,333,2022,2013,2
Chowan,,8875,2022,2013,2
Assumption,,36,2022,2013,2
Bentley,,56,2022,2013,2
Lindenwood,,30136,2022,2013,2
Tusculum,,12830,2022,2013,2
Mo.-St. Louis,,436,2022,2013,2
Cameron,,996,2022,2013,2
St. Anselm,,593,2022,2013,2
Ark.-Fort Smith,,30105,2022,2013,2
Ga. Southwestern,,1097,2022,2013,2
Gannon,,246,2022,2013,2
West Florida,,11740,2022,2013,2
Christian Brothers,,1015,2022,2013,2
Wayne St.  (NSIC),,1433,2022,2013,2
Mars Hill,,1199,2022,2013,2
Dominican  (CACC),,8956,2022,2013,2
UVA Wise,,30181,2022,2013,2
Felician,,23157,2022,2013,2
USciences,,28594,2022,2013,2
Mary,,30075,2022,2013,2
Southwest Baptist,,2755,2022,2013,2
Emporia St.,,1071,2022,2013,2
Truman St.,,499,2022,2013,2
CUI,,30199,2022,2013,2
Biola,,30220,2022,2013,2
Holy Names,,30175,2022,2013,2
Pitt.-Johnstown,,546,2022,2013,2
Northwest Mo. St.,,507,2022,2013,2
Missouri Western,,9013,2022,2013,2
Ohio Dominican,,30119,2022,2013,2
Shepherd,,10870,2022,2013,2
Embry-Riddle  (Sunshine State),,9680,2022,2013,2
East Central,,8965,2022,2013,2
Catawba,,1001,2022,2013,2
USC Aiken,,11276,2022,2013,2
West Va. Wesleyan,,9630,2022,2013,2
Upper Iowa,,728,2022,2013,2
Mississippi Col.,,429,2022,2013,2
Saint Martin's,,1343,2022,2013,2
Findlay,,1079,2022,2013,2
Virginia St.,,743,2022,2013,2
San Fran. St.,,628,2022,2013,2
Stanislaus St.,,103,2022,2013,2
Coker,,1023,2022,2013,2
Academy of Art,,30123,2022,2013,2
Bridgeport,,74,2022,2013,2
Concordia-St. Paul,,9081,2022,2013,2
Western Ore.,,1446,2022,2013,2
Winona St.,,790,2022,2013,2
Emmanuel  (Conference Carolinas),,30193,2022,2013,2
Saint Michael's,,613,2022,2013,2
LeMoyne-Owen,,350,2022,2013,2
Palm Beach Atl.,,30045,2022,2013,2
West Liberty,,1438,2022,2013,2
Minn.-Crookston,,27854,2022,2013,2
Clark Atlanta,,144,2022,2013,2
Alderson Broaddus,,934,2022,2013,2
Northern St.,,1266,2022,2013,2
Bemidji St.,,54,2022,2013,2
Limestone,,1174,2022,2013,2
Kutztown,,339,2022,2013,2
Tuskegee,,720,2022,2013,2
Fort Hays St.,,9011,2022,2013,2
Lincoln  (ECC),,357,2022,2013,2
Lake Erie,,2746,2022,2013,2
Clarion,,143,2022,2013,2
Nyack,,1277,2022,2013,2
Wis.-Parkside,,799,2022,2013,2
Davis & Elkins,,174,2022,2013,2
Marietta,,385,2022,2013,3
St. Joseph's  (Skyline),,1340,2022,2013,3
Wilson,,12973,2022,2013,3
Baldwin Wallace,,46,2022,2013,3
Penn St.-Abington,,30114,2022,2013,3
Randolph-Macon,,565,2022,2013,3
Montclair St.,,442,2022,2013,3
Rhode Island Col.,,571,2022,2013,3
Middlebury,,420,2022,2013,3
LaGrange,,1162,2022,2013,3
Eastern Conn. St.,,200,2022,2013,3
Aurora,,42,2022,2013,3
Kalamazoo,,326,2022,2013,3
Widener,,783,2022,2013,3
Gust. Adolphus,,266,2022,2013,3
La Verne,,341,2022,2013,3
Bethel  (MIAC),,60,2022,2013,3
Anna Maria,,26,2022,2013,3
Birmingham-So.,,28593,2022,2013,3
Berry,,973,2022,2013,3
Crown  (UMAC),,30035,2022,2013,3
North Central  (CCIW),,492,2022,2013,3
Wilmington  (OAC),,1461,2022,2013,3
McDaniel,,773,2022,2013,3
Otterbein,,531,2022,2013,3
Allegheny,,19,2022,2013,3
Wm. Paterson,,787,2022,2013,3
Earlham,,195,2022,2013,3
Pomona-Pitzer,,549,2022,2013,3
Fontbonne,,11538,2022,2013,3
Redlands,,567,2022,2013,3
Denison,,182,2022,2013,3
Chapman,,134,2022,2013,3
CMSV,,451,2022,2013,3
Webster,,759,2022,2013,3
SUNY Cortland,,168,2022,2013,3
Texas-Dallas,,23121,2022,2013,3
Centenary  (SCAC),,125,2022,2013,3
Methodist,,412,2022,2013,3
Trinity  (SCAC),,715,2022,2013,3
DePauw,,177,2022,2013,3
Lawrence,,348,2022,2013,3
Rowan,,259,2022,2013,3
Huntingdon,,1130,2022,2013,3
Ill. Wesleyan,,300,2022,2013,3
Tufts,,717,2022,2013,3
Adrian,,4,2022,2013,3
Roanoke,,578,2022,2013,3
Ithaca,,313,2022,2013,3
Rhodes,,573,2022,2013,3
Shenandoah,,637,2022,2013,3
Salve Regina,,623,2022,2013,3
Wooster,,807,2022,2013,3
Penn St.-Behrend,,538,2022,2013,3
William Peace,,17094,2022,2013,3
Wash. & Jeff.,,751,2022,2013,3
Merchant Marine,,724,2022,2013,3
Brandeis,,73,2022,2013,3
Rochester  (Liberty League),,581,2022,2013,3
Suffolk,,684,2022,2013,3
Kean,,329,2022,2013,3
Stevens,,679,2022,2013,3
Moravian,,443,2022,2013,3
Arcadia,,966,2022,2013,3
Wis.-Platteville,,800,2022,2013,3
Wis.-Whitewater,,805,2022,2013,3
Lebanon Valley,,351,2022,2013,3
Plattsburgh St.,,547,2022,2013,3
Oswego St.,,530,2022,2013,3
Utica,,733,2022,2013,3
Keystone,,30047,2022,2013,3
Springfield,,673,2022,2013,3
Northwestern-St. Paul,,30031,2022,2013,3
Scranton,,633,2022,2013,3
Buena Vista,,84,2022,2013,3
East. Mennonite,,203,2022,2013,3
Claremont-M-S,,142,2022,2013,3
Maryville  (USA South),,396,2022,2013,3
Washington Col.,,753,2022,2013,3
Pfeiffer,,542,2022,2013,3
Penn St.-Altoona,,25719,2022,2013,3
Skidmore,,642,2022,2013,3
Wash. & Lee,,752,2022,2013,3
Immaculata,,303,2022,2013,3
Union  (Liberty League),,727,2022,2013,3
DeSales,,20,2022,2013,3
SUNY Brockport,,78,2022,2013,3
Concordia-M'head,,161,2022,2013,3
Old Westbury,,524,2022,2013,3
Endicott,,8981,2022,2013,3
Grinnell,,264,2022,2013,3
Wittenberg,,806,2022,2013,3
Lynchburg,,374,2022,2013,3
N.C. Wesleyan,,491,2022,2013,3
Gettysburg,,258,2022,2013,3
Franklin,,2694,2022,2013,3
Calvin,,114,2022,2013,3
Colby,,151,2022,2013,3
Loras,,364,2022,2013,3
UChicago,,137,2022,2013,3
Wis.-La Crosse,,795,2022,2013,3
Spalding,,23260,2022,2013,3
Elmhurst,,212,2022,2013,3
Franklin & Marshall,,239,2022,2013,3
Westfield St.,,777,2022,2013,3
Hope,,286,2022,2013,3
Wilkes,,784,2022,2013,3
